agency_id,number,name,billing_address1,billing_address2,billing_city,billing_state,billing_zip,county_code,county_name,county_rollup,agency_type,representative_name,services_loc_id,services_reporting_agency_id,agency_id_rollup,is_community_agency,number_full
2,1002,Corinthian Missionary Baptist Choice FP,3161 East Fifth Ave,NA,Columbus,OH,43219,FRA,Franklin,Franklin,Pantry,NA,615,243,2,1,000000001002
3,1003,Christian Home Ministry Pantry,86 South Ohio Ave.,NA,Columbus,OH,43205,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001003
4,1004,Salvation Army Cambridge,P O Box 254,NA,Cambridge,OH,43725-0254,GUE,Guernsey,Rural,Pantry,H.Willis,1287,245,NA,1,000000001004
5,1005,Covenant SOS Presbyterian,2070 Ridgecliff Road,NA,Columbus,OH,43221,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001005
6,1006,Samaritan House of Noble County,307 Main Street,NA,Caldwell,OH,43724,NOB,Noble,Rural,Pantry,H.Willis,1443,247,NA,1,000000001006
7,1007,Mt Carmel Community Baptist Ch FP,608 Stambaugh Avenue,NA,Columbus,OH,43207,FRA,Franklin,Franklin,Pantry,NA,0,0,7,1,000000001007
8,1008,Salvation Army Belmont County,P O Box 489,NA,Bellaire,OH,43906,BEL,Belmont,Rural,Pantry,H.Willis,908,569,8,1,000000001008
9,1009,Barnesville Nazarene,124 N. Lincoln,NA,Barnesville,OH,43713,BEL,Belmont,Rural,Pantry,NA,0,0,NA,1,000000001009
10,1010,"Rodger's Chapel AME, INC",589 Trace Court,NA,Washington Court House,OH,43160,FAY,Fayette,Rural,Pantry,NA,0,0,NA,1,000000001010
11,1011,Open Door Baptist Church,14454 East Broad Street,NA,Reynoldsburg,OH,43068,LIC,Licking,Contiguous,Pantry,NA,0,0,NA,1,000000001011
12,1012,Beallsville Church of God,52857 ST RT 26,NA,Beallsville,OH,43716,MON,Monroe,Rural,Pantry,NA,0,0,NA,1,000000001012
13,1013,St. Mary's Helping Hand,57123 St. John's Road,NA,Quaker City,OH,43773,NOB,Noble,Rural,Pantry,H.Willis,0,0,13,1,000000001013
14,1014,Living Water Food Pantry,P O Box 104,NA,Quaker City,OH,43773-0104,GUE,Guernsey,Rural,Pantry,H.Willis,404,253,NA,1,000000001014
15,1015,Grove City Food Pantry,2710 Columbus Street,NA,Grove City,OH,43123,FRA,Franklin,Franklin,Pantry,NA,7,255,NA,1,000000001015
16,1016,Victory Life Fellowship,1428 Beatty Ave,NA,Cambridge,OH,43725,GUE,Guernsey,Rural,Pantry,NA,0,0,NA,1,000000001016
17,1017,Calvary Tremont Food Pantry(hold),1255 Leonard Avenue,NA,Columbus,OH,43203,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001017
18,1018,Byesville Assembly of God,102 South Seventh Street,NA,Byesville,OH,43723,GUE,Guernsey,Rural,Pantry,H.Willis,584,257,NA,1,000000001018
19,1019,Barnesville Thrift Store,116 S. Gardner,NA,Barnesville,OH,43713-0340,BEL,Belmont,Rural,Pantry,H.Willis,2285,547,NA,1,000000001019
20,1020,Grace Pantry,P O Box 1435,NA,Cambridge,OH,43725-1435,GUE,Guernsey,Rural,Pantry,H.Willis,484,261,NA,1,000000001020
21,1021,Christ United Methodist Church,380 Spring Street,NA,Cambridge,OH,43725,GUE,Guernsey,Rural,Pantry,NA,0,0,NA,1,000000001021
22,1022,Open Cupboard,24734 RTE 313,NA,Quaker City,OH,43773,NOB,Noble,Rural,Pantry,NA,0,0,NA,1,000000001022
23,1023,SDA Central Church Pantry(Hold),P O Box 360597,NA,Columbus,OH,43236-0597,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001023
24,1024,ASC F/P,92 Jefferson Ave,NA,Columbus,OH,43215,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001024
25,1025,Gospel Lighthouse Church Pantry,600 Frebis Avenue,NA,Columbus,OH,43206,FRA,Franklin,Franklin,Pantry,NA,808,263,NA,1,000000001025
26,1026,Power of Prayer,P O Box 77456,NA,Columbus,OH,43207-0456,FRA,Franklin,Franklin,Pantry,NA,501,265,26,1,000000001026
27,1027,GTB (Greater Twelth Baptist),1279 E 16th Ave,NA,Columbus,OH,43211,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001027
28,1028,South Zanesville UMC Pantry,53 E. Main St.,NA,Zanesville,OH,43701,MUS,Muskingum,Rural,Pantry,B.Nance,1891,267,NA,1,000000001028
29,1029,Revelation Word Ministry,57 N Sandusky St,NA,Delaware,OH,43015,DEL,Delaware,Contiguous,Pantry,NA,0,0,NA,1,000000001029
30,1030,Sardis Manna,37593 State Route 7,NA,Sardis,OH,43946,MON,Monroe,Rural,Pantry,H.Willis,447,269,NA,1,000000001030
31,1031,Al Maun Food Pantry,P O Box 8074,NA,Columbus,OH,43201-0074,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001031
32,1032,God's Community Food Ministry,2796 Wilson Ave Extension,NA,Mingo Junction,OH,43938,JEF,Jefferson,Rural,Pantry,NA,0,0,NA,1,000000001032
33,1033,Christ Cathedral Church Pantry (hold),3931 Sunbury Road,NA,Columbus,OH,43219,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001033
34,1034,God's Grace Food Pantry,175 Fairway Blvd,NA,Whitehall,OH,43213,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001034
35,1035,Bethany Baptist Pantry,2124 Blackoak Avenue,NA,Columbus,OH,43229,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001035
36,1036,Maternity Resource Center,3417 Palmetto St.,NA,Columbus,OH,43204,FRA,Franklin,Franklin,Pantry,NA,0,0,NA,1,000000001036
