mstr_item_id,name_combi,number,name,nickname,ranking,lbs_per_service,commodity_id,name_commodity,category_id,name_category,fa_31_cat_id,name_fa_31_cat,group_generic,dummy_is_fresh,group_fresh,group_food,family_id,name_family
1,BANANAS Yellow,4011,Yellow (includes Cavendish),Yellow,16,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
2,BANANAS Hawaiian plantain,3287,Hawaiian plantain,Hawaiian plantain,NA,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
3,BANANAS Yellow,4186,Yellow (includes Cavendish),Yellow,NA,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
4,BANANAS Burro,4229,Burro,Burro,NA,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
5,BANANAS Dominique,4230,Dominique,Dominique,NA,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
6,BANANAS Green,4231,Green,Green,NA,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
7,BANANAS Leaves,4232,Leaves,Leaves,NA,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
8,BANANAS Apple/Manzano,4233,Apple/Manzano,Apple/Manzano,NA,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
9,BANANAS baby/Nino,4234,baby/Nino,baby/Nino,84,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
10,BANANAS Plantain/Macho,4235,Plantain/Macho,Plantains (ANY),39,4,380,Plantain,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
11,BANANAS Red,4236,Red,Red,NA,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
12,BANANAS BANANAS (ANY),4237,,BANANAS (ANY),NA,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
13,BANANAS Retailer Assigned,4238,,Retailer Assigned,NA,4,16,BANANAS,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
14,APPLES Alkmene,3000,Alkmene,Alkmene,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
15,APPLES Aurora/Southern Rose,3001,Aurora/Southern Rose,Aurora/Southern Rose,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
16,APPLES Cantared,3002,Cantared,Cantared,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
17,APPLES DEstivale,3003,D'Estivale,D'Estivale,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
18,APPLES Discovery,3004,Discovery,Discovery,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
19,APPLES Golden Delicious Blush,3005,Golden Delicious Blush,Golden Delicious Blush,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
20,APPLES Ingrid Marie,3006,Ingrid Marie,Ingrid Marie,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
21,APPLES Lochbuie,3007,Lochbuie,Lochbuie,NA,5,7,APPLES,3,Fruits,28,FRESH PRODUCE,Fresh Food,1,fresh,food,4,Produce
