"mstr_item_id","lbs_per_service","name_commodity","family_id","name_family","item_id","number.y","case_weight","storage_method","category_grouping","material_cost_code","material_cost_name"
1,4,"BANANAS",4,"Produce",44246,"QC912",44,"DR","Fresh Food","SB","FA Blue"
1,4,"BANANAS",4,"Produce",56454,"KR90039",43,"DR","Fresh Food","SB","FA Blue"
1,4,"BANANAS",4,"Produce",68095,"DO9148",40,"DR","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",70766,"MWF901",40,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",75185,"LSD901",44,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",75392,"MWF99000",45,"DR","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",75412,"VAP9311",44,"RF","Fresh Food","FL","Other FB Local"
1,4,"BANANAS",4,"Produce",75413,"VPP9011",44,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",75685,"DEL932",42,"RF","Fresh Food","FL","Other FB Local"
1,4,"BANANAS",4,"Produce",75843,"DT99999",1,"DR","Fresh Food","SB","FA Blue"
1,4,"BANANAS",4,"Produce",76068,"VAP9241",40,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",76412,"MWF99001",40,"DR","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",76606,"VPP9071",40,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",77377,"OAS999190",44,"RF","Fresh Food","AG","Agriculture"
1,4,"BANANAS",4,"Produce",77489,"ALS901",40,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",78207,"OAS999311",12,"RF","Fresh Food","AG","Agriculture"
1,4,"BANANAS",4,"Produce",78738,"KN403",44,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",78797,"CSC9022",5,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",79025,"KN404",43,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",79243,"VAP9391",40,"RF","Fresh Food","FL","Other FB Local"
1,4,"BANANAS",4,"Produce",81831,"CGP901",44,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",83885,"VPP9134",10,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",84287,"QC920",1,"RF","Fresh Food","SB","FA Blue"
1,4,"BANANAS",4,"Produce",84671,"MWF933",20,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",85043,"CHI908",44,"RF","Fresh Food","FL","Other FB Local"
1,4,"BANANAS",4,"Produce",86030,"HTB901",20,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",87362,"VU997",22,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",87897,"DT9141",40,"RF","Fresh Food","SB","FA Blue"
1,4,"BANANAS",4,"Produce",88168,"OAS910439",43,"RF","Fresh Food","AG","Agriculture"
1,4,"BANANAS",4,"Produce",88320,"MWF934",1,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",89630,"QC003",40,"DR","Fresh Food","SY","FA Yellow"
1,4,"BANANAS",4,"Produce",90522,"MWF066",44,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",91657,"MWF71",40,"RF","Fresh Food","LO","Local"
1,4,"BANANAS",4,"Produce",92926,"QC14",44,"DR","Fresh Food","SB","FA Blue"
1,4,"BANANAS",4,"Produce",92927,"QC11",44,"DR","Fresh Food","SB","FA Blue"
1,4,"BANANAS",4,"Produce",93274,"QC12",44,"DR","Fresh Food","SB","FA Blue"
1,4,"BANANAS",4,"Produce",95128,"DT23",40,"RF","Fresh Food","SB","FA Blue"
1,4,"BANANAS",4,"Produce",95155,"QC13",40,"DR","Fresh Food","SB","FA Blue"
1,4,"BANANAS",4,"Produce",95225,"DT24",40,"DR","Fresh Food","SB","FA Blue"
